2021-04-25,Sunday,15:02:08,5
2021-04-25,Sunday,15:02:13,5
2021-04-25,Sunday,15:02:18,5
2021-04-25,Sunday,15:02:23,5
2021-04-25,Sunday,15:02:28,5
2021-04-25,Sunday,15:02:33,7
2021-04-25,Sunday,15:02:38,7
2021-04-25,Sunday,15:02:43,7
2021-04-25,Sunday,15:02:48,7
2021-04-25,Sunday,16:53:22,5
2021-04-25,Sunday,16:53:27,5
2021-04-25,Sunday,16:53:32,5
2021-04-25,Sunday,16:55:32,5
2021-04-25,Sunday,16:55:37,5
2021-04-25,Sunday,16:55:42,5
2021-04-25,Sunday,16:55:47,5
2021-04-25,Sunday,16:57:01,5
2021-04-25,Sunday,16:57:07,5
2021-04-25,Sunday,16:57:30,5
2021-04-25,Sunday,16:57:35,5
2021-04-25,Sunday,16:57:40,5
2021-04-25,Sunday,17:02:06,6
2021-04-25,Sunday,17:02:11,6
2021-04-25,Sunday,17:02:16,6
2021-04-25,Sunday,17:02:21,6
2021-04-25,Sunday,17:02:26,6
2021-04-25,Sunday,17:02:31,7
2021-04-25,Sunday,17:02:36,8
2021-04-25,Sunday,17:02:41,8
2021-04-25,Sunday,17:02:46,8
2021-04-25,Sunday,17:02:51,8
2021-04-25,Sunday,17:02:56,9
