date,day,time,hours,minutes,seconds,totalminutes,totalcount
25-04-21,Sunday,15:02:08,15,2,8,902.1333333,5
,,,0,0,0,0,
25-04-21,Sunday,15:02:13,15,2,13,902.2166667,5
,,,0,0,0,0,
25-04-21,Sunday,15:02:18,15,2,18,902.3,5
,,,0,0,0,0,
25-04-21,Sunday,15:02:23,15,2,23,902.3833333,5
,,,0,0,0,0,
25-04-21,Sunday,15:02:28,15,2,28,902.4666667,5
,,,0,0,0,0,
25-04-21,Sunday,15:02:33,15,2,33,902.55,7
,,,0,0,0,0,
25-04-21,Sunday,15:02:38,15,2,38,902.6333333,7
,,,0,0,0,0,
25-04-21,Sunday,15:02:43,15,2,43,902.7166667,7
,,,0,0,0,0,
25-04-21,Sunday,15:02:48,15,2,48,902.8,7
,,,0,0,0,0,
25-04-21,Sunday,16:53:22,16,53,22,1013.366667,5
,,,0,0,0,0,
25-04-21,Sunday,16:53:27,16,53,27,1013.45,5
,,,0,0,0,0,
25-04-21,Sunday,16:53:32,16,53,32,1013.533333,5
,,,0,0,0,0,
25-04-21,Sunday,16:55:32,16,55,32,1015.533333,5
,,,0,0,0,0,
25-04-21,Sunday,16:55:37,16,55,37,1015.616667,5
,,,0,0,0,0,
25-04-21,Sunday,16:55:42,16,55,42,1015.7,5
,,,0,0,0,0,
25-04-21,Sunday,16:55:47,16,55,47,1015.783333,5
,,,0,0,0,0,
25-04-21,Sunday,16:57:01,16,57,1,1017.016667,5
,,,0,0,0,0,
25-04-21,Sunday,16:57:07,16,57,7,1017.116667,5
,,,0,0,0,0,
25-04-21,Sunday,16:57:30,16,57,30,1017.5,5
,,,0,0,0,0,
25-04-21,Sunday,16:57:35,16,57,35,1017.583333,5
,,,0,0,0,0,
25-04-21,Sunday,16:57:40,16,57,40,1017.666667,5
,,,0,0,0,0,
25-04-21,Sunday,17:02:06,17,2,6,1022.1,6
,,,0,0,0,0,
25-04-21,Sunday,17:02:11,17,2,11,1022.183333,6
,,,0,0,0,0,
25-04-21,Sunday,17:02:16,17,2,16,1022.266667,6
,,,0,0,0,0,
25-04-21,Sunday,17:02:21,17,2,21,1022.35,6
,,,0,0,0,0,
25-04-21,Sunday,17:02:26,17,2,26,1022.433333,6
,,,0,0,0,0,
25-04-21,Sunday,17:02:31,17,2,31,1022.516667,7
,,,0,0,0,0,
25-04-21,Sunday,17:02:36,17,2,36,1022.6,8
,,,0,0,0,0,
25-04-21,Sunday,17:02:41,17,2,41,1022.683333,8
,,,0,0,0,0,
25-04-21,Sunday,17:02:46,17,2,46,1022.766667,8
,,,0,0,0,0,
25-04-21,Sunday,17:02:51,17,2,51,1022.85,8
,,,0,0,0,0,
25-04-21,Sunday,17:02:56,17,2,56,1022.933333,9
